,ncaa_name,bd_name_x,school_id,division_x,hitting,H9_x,BB9_x,2B-A9_x,3B-A9_x,HR-A9_x,SO9_x,SHA9_x,SFA9_x,GO9_x,FO9_x,RBI9_x,HitValue,bd_name_y,division_y,pitching,H9_y,BB9_y,2B-A9_y,3B-A9_y,HR-A9_y,SO9_y,SHA9_y,SFA9_y,GO9_y,FO9_y,RBI9_y,PitchValue,NetValue,RankDate
113,James Madison,James Madison,317,1,317.0,3.9130186828056046,0.2586297150451717,0.4676782802362309,0.4174408466247159,1.9491179117424988,0.30871386983266125,0.18032556498865415,-0.21379925769030614,0.04708021236908257,-0.4187175991442989,-0.7444326486817857,6.16505557812823,James Madison,1,,,,,,,,,,,,,0.0,6.16505557812823,2024-02-12
129,Louisiana Tech,Louisiana Tech,366,1,366.0,1.0990982468377353,0.4233693629765425,0.010274167219898378,0.2435135195411855,1.405757674434466,-0.34232443925086975,-0.06601831676097311,-0.21379925769030614,0.08207916247077657,0.24573024979892066,1.1186139458632798,4.006294315440655,Louisiana Tech,1,,,,,,,,,,,,,0.0,4.006294315440655,2024-02-12
231,South Alabama,South Alabama,646,1,646.0,1.834647819431068,0.8275076914958389,-0.2868161257859027,0.06322065309259636,0.7859020694698103,0.1729686733745014,0.038468819743008344,-0.02708690005111619,-0.12920265383180982,-0.17613067113631883,-0.42890049947996167,2.674578876321714,South Alabama,1,,,,,,,,,,,,,0.0,2.674578876321714,2024-02-12
40,Campbell,Campbell,115,1,115.0,1.7417202446883833,0.026321180571619474,0.5119601088730888,-0.09938977208068579,0.5199254823721615,-0.16410276119998943,0.032934970632824,-0.21379925769030614,0.30646019843872746,0.12358560359139394,-1.4615748083328406,1.3240411898643771,Campbell,1,,,,,,,,,,,,,0.0,1.3240411898643771,2024-02-12
214,Rice,Rice,574,1,574.0,0.593142182452726,2.0541029692824755,-0.21576136428875833,-0.09938977208068579,-0.8227167792529971,0.289200202538119,0.1015214021161006,0.5250483996208472,-0.002182070445458139,-0.2951960405486979,-0.8652863320736831,1.2624827973199877,Rice,1,,,,,,,,,,,,,0.0,1.2624827973199877,2024-02-12
242,Southern Miss.,Southern Mississippi,664,1,664.0,0.9269031156814925,-0.709281478794644,0.05176436331208781,-0.09938977208068579,0.9290132710790013,0.010728830583618648,-0.06601831676097311,-0.21379925769030614,0.3440937266232256,-0.2748044528622924,-0.1260869905754147,0.7731230385151098,Southern Mississippi,1,,,,,,,,,,,,,0.0,0.7731230385151098,2024-02-12
50,Coastal Carolina,Coastal Carolina,149,1,149.0,0.4012849212700897,-0.4661216950085123,0.018656025016300273,-0.0617170639612264,0.3193387089449416,0.09674312756352448,0.010913608136987343,0.2369859728650063,0.07038958956050052,-0.20418409690673323,0.26398354015827324,0.6862726376391515,Coastal Carolina,1,,,,,,,,,,,,,0.0,0.6862726376391515,2024-02-12
97,High Point,High Point,19651,1,19651.0,0.22688274077876355,0.060244762379827455,-0.23325055430411332,-0.09938977208068579,-0.16469447779530025,-0.4120633567490402,-0.03526343470155186,-0.21379925769030614,0.020676007741760007,0.3699277472032126,0.6463935988592585,0.1656640036418246,High Point,1,,,,,,,,,,,,,0.0,0.1656640036418246,2024-02-12
309,Louisiana,,671,1,,,,,,,,,,,,,0.0,,1,671.0,0.0013199048195755125,-0.029169943280859114,-0.007975885019877347,-0.012813677493233129,-0.026733770903092133,0.016871069320970333,-0.0016499990867372024,-0.015181654002123336,0.00024096722699092142,-0.0022869575953661818,-0.01388859164185451,-0.09126853765560618,0.09126853765560618,2024-02-12
165,NJIT,New Jersey Tech,471,1,,,,,,,,,,,,,0.0,New Jersey Tech,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
205,Pittsburgh,Pittsburgh,545,1,,,,,,,,,,,,,0.0,Pittsburgh,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
211,Quinnipiac,Quinnipiac,562,1,,,,,,,,,,,,,0.0,Quinnipiac,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
210,Purdue,Purdue,559,1,,,,,,,,,,,,,0.0,Purdue,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
209,Princeton,Princeton,554,1,,,,,,,,,,,,,0.0,Princeton,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
208,Presbyterian,Presbyterian,1320,1,,,,,,,,,,,,,0.0,Presbyterian,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
207,Prairie View,Prairie View A&M,553,1,,,,,,,,,,,,,0.0,Prairie View A&M,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
206,Portland,Portland,551,1,,,,,,,,,,,,,0.0,Portland,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
204,Pepperdine,Pepperdine,541,1,,,,,,,,,,,,,0.0,Pepperdine,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
212,Radford,Radford,563,1,,,,,,,,,,,,,0.0,Radford,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
203,Penn,Pennslyvania,540,1,,,,,,,,,,,,,0.0,Pennslyvania,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
161,Nebraska,Nebraska,463,1,,,,,,,,,,,,,0.0,Nebraska,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
202,Penn St.,Penn State,539,1,,,,,,,,,,,,,0.0,Penn State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
201,Pacific,Pacific,534,1,,,,,,,,,,,,,0.0,Pacific,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
200,Oregon St.,Oregon State,528,1,,,,,,,,,,,,,0.0,Oregon State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
199,Oregon,Oregon,529,1,,,,,,,,,,,,,0.0,Oregon,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
160,Navy,Navy,726,1,,,,,,,,,,,,,0.0,Navy,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
213,Rhode Island,Rhode Island,572,1,,,,,,,,,,,,,0.0,Rhode Island,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
166,New Mexico,New Mexico,473,1,,,,,,,,,,,,,0.0,New Mexico,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
221,Samford,Samford,625,1,,,,,,,,,,,,,0.0,Samford,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
228,Seattle U,Seattle,1356,1,,,,,,,,,,,,,0.0,Seattle,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
226,Santa Clara,Santa Clara,631,1,,,,,,,,,,,,,0.0,Santa Clara,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
225,San Jose St.,San Jose State,630,1,,,,,,,,,,,,,0.0,San Jose State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
224,San Francisco,San Francisco,629,1,,,,,,,,,,,,,0.0,San Francisco,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
223,San Diego St.,San Diego State,626,1,,,,,,,,,,,,,0.0,San Diego State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
222,San Diego,San Diego,627,1,,,,,,,,,,,,,0.0,San Diego,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
220,Sam Houston St.,Sam Houston State,624,1,,,,,,,,,,,,,0.0,Sam Houston State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
159,Murray St.,Murray State,454,1,,,,,,,,,,,,,0.0,Murray State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
219,Sacred Heart,Sacred Heart,590,1,,,,,,,,,,,,,0.0,Sacred Heart,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
158,Mount St. Mary’s,Mount St. Mary’s,450,1,,,,,,,,,,,,,0.0,Mount St. Mary’s,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
218,Sacramento St.,Sacramento State,102,1,,,,,,,,,,,,,0.0,Sacramento State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
217,Rutgers,Rutgers,587,1,,,,,,,,,,,,,0.0,Rutgers,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
216,Rider,Rider,576,1,,,,,,,,,,,,,0.0,Rider,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
215,Richmond,Richmond,575,1,,,,,,,,,,,,,0.0,Richmond,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
198,Oral Roberts,Oral Roberts,527,1,,,,,,,,,,,,,0.0,Oral Roberts,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
197,Old Dominion,Old Dominion,523,1,,,,,,,,,,,,,0.0,Old Dominion,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
162,Omaha,Nebraska-Omaha,464,1,,,,,,,,,,,,,0.0,Nebraska-Omaha,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
174,North Carolina,North Carolina,457,1,,,,,,,,,,,,,0.0,North Carolina,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
180,UNC Greensboro,North Carolina-Greensboro,459,1,,,,,,,,,,,,,0.0,North Carolina-Greensboro,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
179,Charlotte,North Carolina-Charlotte,458,1,,,,,,,,,,,,,0.0,North Carolina-Charlotte,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
178,UNC Asheville,North Carolina-Asheville,456,1,,,,,,,,,,,,,0.0,North Carolina-Asheville,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
177,NC State,North Carolina State,490,1,,,,,,,,,,,,,0.0,North Carolina State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
176,N.C. Central,North Carolina Central,489,1,,,,,,,,,,,,,0.0,North Carolina Central,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
175,N.C. A&T,North Carolina A&T,488,1,,,,,,,,,,,,,0.0,North Carolina A&T,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
173,North Ala.,North Alabama,487,1,,,,,,,,,,,,,0.0,North Alabama,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
196,Oklahoma St.,Oklahoma State,521,1,,,,,,,,,,,,,0.0,Oklahoma State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
172,Norfolk St.,Norfolk State,485,1,,,,,,,,,,,,,0.0,Norfolk State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
171,Nicholls St.,Nicholls State,483,1,,,,,,,,,,,,,0.0,Nicholls State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
170,Niagara,Niagara,482,1,,,,,,,,,,,,,0.0,Niagara,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
169,New York Tech,New York Tech,477,1,,,,,,,,,,,,,0.0,New York Tech,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
168,New Orleans,New Orleans,474,1,,,,,,,,,,,,,0.0,New Orleans,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
167,New Mexico St.,New Mexico State,472,1,,,,,,,,,,,,,0.0,New Mexico State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
181,UNCW,North Carolina-Wilmington,460,1,,,,,,,,,,,,,0.0,North Carolina-Wilmington,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
164,UNLV,Nevada-Las Vegas,465,1,,,,,,,,,,,,,0.0,Nevada-Las Vegas,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
182,North Dakota,North Dakota,494,1,,,,,,,,,,,,,0.0,North Dakota,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
183,North Dakota St.,North Dakota State,493,1,,,,,,,,,,,,,0.0,North Dakota State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
184,North Florida,North Florida,2711,1,,,,,,,,,,,,,0.0,North Florida,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
185,Northeastern,Northeastern,500,1,,,,,,,,,,,,,0.0,Northeastern,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
186,Northern Colo.,Northern Colorado,502,1,,,,,,,,,,,,,0.0,Northern Colorado,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
187,Northern Ill.,Northern Illinois,503,1,,,,,,,,,,,,,0.0,Northern Illinois,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
